date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
7/1/2010,SWE,SEK,Sweden,48.4,7.37355,6.564002414,0.758,0.515,0.884,0.788,2.37,,,,,,,
7/1/2010,THA,THB,Thailand,70,32.305,2.166847237,-0.42,-0.5,-0.378,-0.41,0.112,,,,,,,
7/1/2010,TUR,TRY,Turkey,5.95,1.5293,3.890668933,0.042,-0.102,0.117,0.06,0.997,,,,,,,
7/1/2010,TWN,TWD,Taiwan,75,32.1055,2.336048341,-0.374,-0.461,-0.329,-0.364,0.199,,,,,,,
7/1/2010,UKR,UAH,Ukraine,14.5,7.899,1.835675402,-0.508,-0.576,-0.473,-0.5,-0.058,,,,,,,
7/1/2010,URY,UYU,Uruguay,79,21.1,3.744075829,0.003,-0.136,0.075,0.02,0.922,,,,,,,
7/1/2010,USA,USD,United States,3.733333333,1,3.733333333,0,-0.138,0.072,0.017,0.917,,,,,,,
7/1/2010,ZAF,ZAR,South Africa,18.45,7.5365,2.448085982,-0.344,-0.435,-0.297,-0.333,0.257,,,,,,,
7/1/2011,ARE,AED,UAE,12,3.67305,3.267039654,-0.196,-0.337,-0.16,-0.2,0.437,,,,,,,
7/1/2011,ARG,ARS,Argentina,20,4.1325,4.83968542,0.191,-0.018,0.244,0.185,1.129,9138.177,3.149756552,1.011,0.475,0.85,0.906,0.946
7/1/2011,AUS,AUD,Australia,4.56,0.922381589,4.943724001,0.216,0.003,0.27,0.211,1.175,55589.549,5.792526187,0.117,-0.181,0.027,0.059,0.081
7/1/2011,BRA,BRL,Brazil,9.5,1.5416,6.162428646,0.516,0.25,0.584,0.509,1.711,10816.487,3.245241067,1.485,0.823,1.286,1.356,1.405
7/1/2011,CAN,CAD,Canada,4.73,0.94585,5.000792938,0.23,0.015,0.285,0.225,1.2,46214.914,5.259172711,0.244,-0.087,0.145,0.18,0.204
7/1/2011,CHE,CHF,Switzerland,6.5,0.80615,8.063015568,0.984,0.636,1.072,0.975,2.547,67245.997,6.455699426,0.635,0.199,0.504,0.55,0.582
7/1/2011,CHL,CLP,Chile,1850,462.75,3.997839006,-0.017,-0.189,0.027,-0.021,0.759,11827.958,3.302786942,0.584,0.162,0.457,0.502,0.533
7/1/2011,CHN,CNY,China,14.65,6.445,2.273079907,-0.441,-0.539,-0.416,-0.443,0,4382.136,2.879169911,0.033,-0.242,-0.05,-0.021,0
7/1/2011,COL,COP,Colombia,8400,1770.5,4.74442248,0.167,-0.037,0.219,0.162,1.087,6273.372,2.986768478,1.079,0.525,0.912,0.971,1.012
7/1/2011,CRI,CRC,Costa Rica,2050,504.305,4.065000347,0,-0.175,0.045,-0.005,0.788,,,,,,,
7/1/2011,CZE,CZK,Czech Republic,69.32,17.0219,4.072400848,0.002,-0.174,0.046,-0.003,0.792,18288.284,3.6703359,0.452,0.065,0.336,0.377,0.405
7/1/2011,DNK,DKK,Denmark,28.5,5.19845,5.482403409,0.349,0.112,0.409,0.343,1.412,56147.143,5.824249523,0.232,-0.096,0.133,0.168,0.192
7/1/2011,EGY,EGP,Egypt,14.09,5.962,2.363300906,-0.419,-0.52,-0.393,-0.421,0.04,2788.829,2.788521493,0.109,-0.186,0.02,0.051,0.073
7/1/2011,EUZ,EUR,Euro area,3.437660401,0.697520315,4.928401836,0.212,0,0.266,0.207,1.168,36947,4.73189094,0.363,0,0.254,0.292,0.319
7/1/2011,GBR,GBP,Britain,2.39,0.614137444,3.891637,-0.043,-0.21,0,-0.047,0.712,36119.846,4.684831459,0.087,-0.202,0,0.031,0.052
7/1/2011,HKG,HKD,Hong Kong,15.1,7.7918,1.937934752,-0.523,-0.607,-0.502,-0.525,-0.147,31590.681,4.427152531,-0.427,-0.58,-0.473,-0.457,-0.446
7/1/2011,HUN,HUF,Hungary,760,188.0724,4.040996978,-0.006,-0.18,0.038,-0.01,0.778,12879.296,3.36260098,0.573,0.154,0.447,0.491,0.522
7/1/2011,IDN,IDR,Indonesia,22534,8523,2.643904728,-0.35,-0.464,-0.321,-0.353,0.163,3015.374,2.801410375,0.235,-0.094,0.136,0.171,0.195
7/1/2011,IND,INR,India,84,44.4,1.891891892,-0.535,-0.616,-0.514,-0.537,-0.168,1264.839,2.701816745,-0.084,-0.328,-0.157,-0.131,-0.113
7/1/2011,ISR,ILS,Israel,15.9,3.40335,4.671867425,0.149,-0.052,0.2,0.144,1.055,28685.616,4.261873934,0.435,0.052,0.32,0.36,0.388
7/1/2011,JPN,JPY,Japan,320,78.365,4.083455624,0.005,-0.171,0.049,0,0.796,42820.392,5.066047314,0.055,-0.226,-0.03,0,0.021
7/1/2011,KOR,KRW,South Korea,3700,1056.2,3.503124408,-0.138,-0.289,-0.1,-0.142,0.541,20590.962,3.801342741,0.206,-0.115,0.109,0.143,0.167
7/1/2011,LKA,LKR,Sri Lanka,280,109.475,2.557661567,-0.371,-0.481,-0.343,-0.374,0.125,,,,,,,
7/1/2011,MEX,MXN,Mexico,32,11.67075,2.741897479,-0.325,-0.444,-0.295,-0.329,0.206,9565.962,3.174094632,0.131,-0.171,0.04,0.072,0.094
7/1/2011,MYS,MYR,Malaysia,7.2,2.973,2.421796165,-0.404,-0.509,-0.378,-0.407,0.065,8423.176,3.10907782,0.019,-0.252,-0.062,-0.034,-0.013
7/1/2011,NOR,NOK,Norway,45,5.41405,8.311707502,1.045,0.686,1.136,1.035,2.657,84443.634,7.43412893,0.463,0.073,0.346,0.387,0.416
7/1/2011,NZL,NZD,New Zealand,5.1,1.156069364,4.411500001,0.085,-0.105,0.134,0.08,0.941,32145.233,4.458702798,0.295,-0.05,0.191,0.227,0.253
7/1/2011,PAK,PKR,Pakistan,205.13,86.345,2.375702125,-0.416,-0.518,-0.39,-0.418,0.045,1049.749,2.689579576,0.156,-0.152,0.063,0.096,0.119
7/1/2011,PER,PEN,Peru,10,2.7375,3.652968037,-0.101,-0.259,-0.061,-0.105,0.607,5171.651,2.924087987,0.635,0.199,0.504,0.55,0.582
7/1/2011,PHL,PHP,Philippines,118,42.41,2.78236265,-0.316,-0.435,-0.285,-0.319,0.224,2007.362,2.744061294,0.327,-0.026,0.221,0.258,0.284
7/1/2011,POL,PLN,Poland,8.63,2.7968,3.085669336,-0.241,-0.374,-0.207,-0.244,0.357,12300.126,3.329650115,0.213,-0.11,0.116,0.15,0.174
7/1/2011,RUS,RUB,Russia,75,27.7525,2.702459238,-0.335,-0.452,-0.306,-0.338,0.189,10437.49,3.223678695,0.097,-0.195,0.009,0.04,0.062
7/1/2011,SAU,SAR,Saudi Arabia,10,3.7502,2.666524452,-0.344,-0.459,-0.315,-0.347,0.173,16995.78,3.596801143,-0.03,-0.288,-0.108,-0.08,-0.061
7/1/2011,SGP,SGD,Singapore,4.41,1.20705,3.653535479,-0.101,-0.259,-0.061,-0.105,0.607,43116.689,5.082904614,-0.059,-0.31,-0.135,-0.108,-0.09
7/1/2011,SWE,SEK,Sweden,48.4,6.3352,7.639853517,0.879,0.55,0.963,0.871,2.361,48874.608,5.410491353,0.848,0.356,0.7,0.752,0.789
7/1/2011,THA,THB,Thailand,70,29.75,2.352941176,-0.421,-0.523,-0.395,-0.424,0.035,4991.525,2.913840033,0.057,-0.225,-0.028,0.002,0.023
7/1/2011,TUR,TRY,Turkey,6.5,1.72285,3.772818295,-0.072,-0.234,-0.031,-0.076,0.66,10398.685,3.221470952,0.533,0.124,0.41,0.453,0.483
7/1/2011,TWN,TWD,Taiwan,75,28.834,2.601095928,-0.36,-0.472,-0.332,-0.363,0.144,18457.752,3.679977485,-0.075,-0.321,-0.149,-0.123,-0.105
7/1/2011,UKR,UAH,Ukraine,16.5,7.994,2.064048036,-0.492,-0.581,-0.47,-0.495,-0.092,,,,,,,
7/1/2011,URY,UYU,Uruguay,90,18.45,4.87804878,0.2,-0.01,0.253,0.195,1.146,,,,,,,
7/1/2011,USA,USD,United States,4.065,1,4.065,0,-0.175,0.045,-0.005,0.788,47283.633,5.319975611,0,-0.266,-0.08,-0.052,-0.032
7/1/2011,ZAF,ZAR,South Africa,19.45,6.76885,2.873457087,-0.293,-0.417,-0.262,-0.296,0.264,7157.801,3.03708652,0.238,-0.092,0.139,0.174,0.198
1/1/2012,ARE,AED,UAE,12,3.673,3.267084127,-0.222,-0.263,-0.146,-0.215,0.34,,,,,,,
1/1/2012,ARG,ARS,Argentina,20,4.3135,4.636606004,0.105,0.046,0.213,0.115,0.901,9138.177,2.994189696,0.756,0.496,0.718,0.694,0.762
1/1/2012,AUS,AUD,Australia,4.8,0.972337012,4.93656,0.176,0.114,0.291,0.187,1.024,55589.549,5.142346222,0.088,-0.073,0.065,0.05,0.092
1/1/2012,BRA,BRL,Brazil,10.25,1.805,5.67867036,0.353,0.282,0.485,0.365,1.329,10816.487,3.071803606,1.096,0.786,1.051,1.023,1.103
